瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥绊扁柯(∑C),乞闭 惑措嚼档(%)
143,措备,2016-07-13,28.1,32.4,65.4
143,措备,2016-07-14,26,32.3,66.6
143,措备,2016-07-15,24.3,29.8,67.5
143,措备,2016-07-16,22.1,22.8,84.4
143,措备,2016-07-17,26,31.6,70.1
143,措备,2016-07-18,25.9,30.9,64.4
143,措备,2016-07-19,25.1,29.8,74.4
143,措备,2016-07-20,24.7,29,67.5
143,措备,2016-07-21,24.1,29.2,69.1
143,措备,2016-07-22,25.1,30.6,66.4
143,措备,2016-07-23,27.3,34,63.5
143,措备,2016-07-24,27.6,36,73.3
143,措备,2016-07-25,27.1,32.6,83.9
143,措备,2016-07-26,29.7,35,68.6
143,措备,2016-07-27,30.3,36.1,63.5
143,措备,2016-07-28,30.8,35.4,62.6
143,措备,2016-07-29,30.9,36,67.1
143,措备,2016-07-30,29.7,35.1,70.5
143,措备,2016-07-31,28.1,35.1,77
143,措备,2016-08-01,27.6,34.3,74.5
143,措备,2016-08-02,26.7,32.2,79.4
143,措备,2016-08-03,26.5,33.2,78.3
143,措备,2016-08-04,27.7,33.8,73.4
143,措备,2016-08-05,28.5,34.5,67.9
143,措备,2016-08-06,29.5,35.1,67
143,措备,2016-08-07,28.6,34.6,73.6
143,措备,2016-08-08,28.5,35.6,73.4
143,措备,2016-08-09,27.7,31.8,66.8
143,措备,2016-08-10,29.4,35.4,62.6
143,措备,2016-08-11,31.4,37.8,61
143,措备,2016-08-12,31.8,37.7,58.5
143,措备,2016-08-13,32.4,38.1,51.1
143,措备,2016-08-14,31.9,37,54.8
143,措备,2016-08-15,30.7,36,61.9
143,措备,2016-08-16,28.3,32.8,65
143,措备,2016-08-17,28.2,35.2,66.5
143,措备,2016-08-18,28.8,35,64.4
143,措备,2016-08-19,28.6,34.6,63.5
143,措备,2016-08-20,28.1,33.6,62.5
143,措备,2016-08-21,28.4,33.9,60.8
143,措备,2016-08-22,28.4,34.6,65.3
143,措备,2016-08-23,27.9,32.5,64.4
143,措备,2016-08-24,27.5,33.9,61.5
143,措备,2016-08-25,29.5,36.2,54.9
143,措备,2016-08-26,22.3,30.2,75.9
143,措备,2016-08-27,23.1,27.4,56.9
143,措备,2016-08-28,19.3,23,88.6
143,措备,2016-08-29,21.4,25.6,60.3
143,措备,2016-08-30,21.9,26,60.1
143,措备,2016-08-31,24.7,28.5,46.8
143,措备,2016-09-01,26.7,32.2,55
143,措备,2016-09-02,20.1,21.5,93.8
143,措备,2016-09-03,21.6,24.4,93.5
143,措备,2016-09-04,23.7,27.8,87.6
143,措备,2016-09-05,24.2,27.8,86.8
143,措备,2016-09-06,25.1,28.6,77.5
143,措备,2016-09-07,24.5,30.1,76.1
143,措备,2016-09-08,23.1,29.2,73.9
143,措备,2016-09-09,23.8,29.6,75.3
